run_id,benchmark,search_strategy,method_label,path_index,status,state_id,depth,constraint_count,solver_time_ns,sat,has_exception,has_loop,has_division,has_nested_branch,has_dispatch,branches_covered,pc
"real-commonslang-realstyle-run-1","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","1","END","2","-1","2","953600","true","false","false","false","true","false","68","constraint # = 2 char2_2_SYMINT >= CONST_48 && char1_1_SYMINT >= CONST_48"
"real-commonslang-realstyle-run-1","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","2","END","3","-1","2","408100","true","false","false","false","true","false","68","constraint # = 2 char2_2_SYMINT < CONST_48 && char1_1_SYMINT >= CONST_48"
"real-commonslang-realstyle-run-1","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","3","END","4","-1","1","354500","true","false","false","false","true","false","68","constraint # = 1 char1_1_SYMINT < CONST_48"
"real-commonslang-realstyle-run-2","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","1","END","2","-1","2","901900","true","false","false","false","true","false","68","constraint # = 2 char2_2_SYMINT >= CONST_48 && char1_1_SYMINT >= CONST_48"
"real-commonslang-realstyle-run-2","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","2","END","3","-1","2","347800","true","false","false","false","true","false","68","constraint # = 2 char2_2_SYMINT < CONST_48 && char1_1_SYMINT >= CONST_48"
"real-commonslang-realstyle-run-2","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","3","END","4","-1","1","339000","true","false","false","false","true","false","68","constraint # = 1 char1_1_SYMINT < CONST_48"
"real-commonslang-realstyle-run-3","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","1","END","2","-1","2","913400","true","false","false","false","true","false","68","constraint # = 2 char2_2_SYMINT >= CONST_48 && char1_1_SYMINT >= CONST_48"
"real-commonslang-realstyle-run-3","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","2","END","3","-1","2","496000","true","false","false","false","true","false","68","constraint # = 2 char2_2_SYMINT < CONST_48 && char1_1_SYMINT >= CONST_48"
"real-commonslang-realstyle-run-3","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","3","END","4","-1","1","325400","true","false","false","false","true","false","68","constraint # = 1 char1_1_SYMINT < CONST_48"
"real-commonslang-realstyle-run-4","real-commonslang-realstyle","gov.nasa.jpf.search.DFSearch","research.OpenSourceLibraryBenchmarks.commonsLangReal","1","END","2","-1","2","938700","true","false","false","false","true","false","68","constraint # = 2 char2_2_SYMINT >= CONST_48 && char1_1_SYMINT >= CONST_48"
